cave,month,location,room,date,time,wind_speed,temperature,atmospheric_pressure,relative_humidity
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,2,1,10/23/2021,13:19:58,0,24,847,
1,october,3,1,10/23/2021,13:23:09,0,24,847,
1,october,3,1,10/23/2021,13:23:14,0,24,847,
1,october,3,1,10/23/2021,13:23:19,0,24,847,
1,october,3,1,10/23/2021,13:23:24,0,24,847,
1,october,3,1,10/23/2021,13:23:29,0,24,847,
1,october,3,1,10/23/2021,13:23:34,0,24,847,
1,october,3,1,10/23/2021,13:23:39,0,24,847,
1,october,3,1,10/23/2021,13:23:44,0,24,847,
1,october,3,1,10/23/2021,13:23:49,0,24,847,
1,october,3,1,10/23/2021,13:23:54,0,24,847,
1,october,3,1,10/23/2021,13:23:59,0,24,847,
1,october,3,1,10/23/2021,13:24:04,0,24,847,
1,october,3,1,10/23/2021,13:24:09,0,24,847,
1,october,3,1,10/23/2021,13:24:14,0,24,847,
1,october,3,1,10/23/2021,13:24:19,0,24,847,
1,october,3,1,10/23/2021,13:24:24,0,24,847,
1,october,3,1,10/23/2021,13:24:29,0,24,847,
1,october,3,1,10/23/2021,13:24:34,0,24,847,
1,october,3,1,10/23/2021,13:24:39,0,24,847,
1,october,3,1,10/23/2021,13:24:44,0,24,847,
1,october,3,1,10/23/2021,13:24:49,0,23,847,
1,october,3,1,10/23/2021,13:24:54,0,23,847,
1,october,3,1,10/23/2021,13:24:59,0,23,847,
1,october,3,1,10/23/2021,13:25:04,0,23,847,
1,october,3,1,10/23/2021,13:25:09,0,23,847,
1,october,3,1,10/23/2021,13:25:14,0,23,847,
1,october,3,1,10/23/2021,13:25:19,0,23,847,
1,october,3,1,10/23/2021,13:25:24,0,23,847,
1,october,3,1,10/23/2021,13:25:29,0,23,847,
1,october,3,1,10/23/2021,13:25:34,0,23,847,
1,october,3,1,10/23/2021,13:25:39,0,23,847,
1,october,3,1,10/23/2021,13:25:44,0,23,847,
1,october,3,1,10/23/2021,13:25:49,0,23,847,
1,october,3,1,10/23/2021,13:25:54,0,23,847,
1,october,3,1,10/23/2021,13:25:59,0,23,847,
1,october,3,1,10/23/2021,13:26:04,0,23,847,
1,october,3,1,10/23/2021,13:26:09,0,22,847,
1,october,3,1,10/23/2021,13:26:14,0,22,847,
1,october,3,1,10/23/2021,13:26:19,0,22,847,
1,october,3,1,10/23/2021,13:26:24,0,22,847,
1,october,3,1,10/23/2021,13:26:29,0,22,847,
1,october,3,1,10/23/2021,13:26:34,0,22,847,
1,october,3,1,10/23/2021,13:26:39,0,22,847,
1,october,3,1,10/23/2021,13:26:44,0,22,847,
1,october,3,1,10/23/2021,13:26:49,0,22,847,
1,october,3,1,10/23/2021,13:26:54,0,22,847,
1,october,3,1,10/23/2021,13:26:59,0,22,847,
1,october,3,1,10/23/2021,13:27:04,0,23,847,
1,october,3,1,10/23/2021,13:27:09,0,23,847,
1,october,3,1,10/23/2021,13:27:14,0,23,847,
1,october,3,1,10/23/2021,13:27:19,0,23,847,
1,october,3,1,10/23/2021,13:27:24,0,23,847,
1,october,3,1,10/23/2021,13:27:29,0,23,847,
1,october,3,1,10/23/2021,13:27:34,0,23,847,
1,october,3,1,10/23/2021,13:27:39,0,23,847,
1,october,3,1,10/23/2021,13:27:44,0,23,847,
1,october,3,1,10/23/2021,13:27:49,0,23,847,
1,october,3,1,10/23/2021,13:27:54,0,23,847,
1,october,3,1,10/23/2021,13:27:59,0,23,847,
1,october,3,1,10/23/2021,13:28:04,0,23,847,
1,october,3,1,10/23/2021,13:28:09,0,23,847,
1,october,3,1,10/23/2021,13:28:14,0,23,847,
1,october,3,1,10/23/2021,13:28:19,0,23,847,
1,october,3,1,10/23/2021,13:28:24,0,23,847,
1,october,3,1,10/23/2021,13:28:29,0,23,847,
1,october,3,1,10/23/2021,13:28:34,0,23,847,
1,october,3,1,10/23/2021,13:28:39,0,23,847,
1,october,4,2,10/23/2021,13:36:13,0,20,824,
1,october,4,2,10/23/2021,13:36:18,0,20,824,
1,october,4,2,10/23/2021,13:36:23,0,20,824,
1,october,4,2,10/23/2021,13:36:28,0,20,824,
1,october,4,2,10/23/2021,13:36:33,0,20,824,
1,october,4,2,10/23/2021,13:36:38,0,20,824,
1,october,4,2,10/23/2021,13:36:43,0,20,824,
1,october,4,2,10/23/2021,13:36:48,0,20,824,
1,october,4,2,10/23/2021,13:36:53,0,20,824,
1,october,4,2,10/23/2021,13:36:58,0,20,824,
1,october,4,2,10/23/2021,13:37:03,0,20,824,
1,october,4,2,10/23/2021,13:37:08,0,20,824,
1,october,4,2,10/23/2021,13:37:13,0,20,824,
1,october,4,2,10/23/2021,13:37:18,0,20,824,
1,october,4,2,10/23/2021,13:37:23,0,20,824,
1,october,4,2,10/23/2021,13:37:28,0,20,824,
1,october,4,2,10/23/2021,13:37:33,0,18.1,824,
1,october,4,2,10/23/2021,13:37:38,0,18.1,824,
1,october,4,2,10/23/2021,13:37:43,0,18.1,824,
1,october,4,2,10/23/2021,13:37:48,0,18.1,824,
1,october,4,2,10/23/2021,13:37:53,0,18.1,824,
1,october,4,2,10/23/2021,13:37:58,0,18.1,824,
1,october,4,2,10/23/2021,13:38:03,0,18.1,824,
1,october,4,2,10/23/2021,13:38:08,0,18.1,824,
1,october,4,2,10/23/2021,13:38:13,0,18.1,824,
1,october,4,2,10/23/2021,13:38:18,0,18.1,824,
1,october,4,2,10/23/2021,13:38:23,0,18.1,824,
1,october,4,2,10/23/2021,13:38:28,0,18.1,824,
1,october,4,2,10/23/2021,13:38:33,0,18.1,824,
1,october,4,2,10/23/2021,13:38:38,0,18.1,824,
1,october,4,2,10/23/2021,13:38:43,0,18.1,824,
1,october,4,2,10/23/2021,13:38:48,0,18.1,824,
1,october,4,2,10/23/2021,13:38:53,0,18.1,824,
1,october,4,2,10/23/2021,13:38:58,0,18.1,824,
1,october,4,2,10/23/2021,13:39:03,0,18.1,824,
1,october,4,2,10/23/2021,13:39:08,0,17.8,824,
1,october,4,2,10/23/2021,13:39:13,0,17.8,824,
1,october,4,2,10/23/2021,13:39:18,0,17.8,824,
1,october,4,2,10/23/2021,13:39:23,0,15.2,823,
1,october,4,2,10/23/2021,13:39:28,0,15.2,822,
1,october,4,2,10/23/2021,13:39:33,0,15.1,823,
1,october,4,2,10/23/2021,13:39:38,0,15.1,823,
1,october,4,2,10/23/2021,13:39:43,0,15.1,823,
1,october,4,2,10/23/2021,13:39:48,0,15.1,823,
1,october,4,2,10/23/2021,13:39:53,0,15.1,823,
1,october,4,2,10/23/2021,13:39:58,0,15.1,823,
1,october,4,2,10/23/2021,13:40:03,0,15.1,822,
1,october,4,2,10/23/2021,13:40:08,0,15.1,823,
1,october,4,2,10/23/2021,13:40:13,0,15.1,823,
1,october,4,2,10/23/2021,13:40:18,0,15.1,823,
1,october,4,2,10/23/2021,13:40:23,0,15.1,823,
1,october,4,2,10/23/2021,13:40:28,0,15.1,823,
1,october,4,2,10/23/2021,13:40:33,0,15.1,823,
1,october,4,2,10/23/2021,13:40:38,0,15.1,823,
1,october,4,2,10/23/2021,13:40:43,0,15.1,823,
1,october,4,2,10/23/2021,13:40:48,0,15.1,823,
1,october,4,2,10/23/2021,13:40:53,0,15.1,823,
1,october,4,2,10/23/2021,13:40:58,0,15.1,823,
1,october,4,2,10/23/2021,13:41:03,0,15.1,823,
1,october,4,2,10/23/2021,13:41:08,0,15,823,
1,october,4,2,10/23/2021,13:41:13,0,15.1,823,
1,october,4,2,10/23/2021,13:41:18,0,15.1,822,
1,october,4,2,10/23/2021,13:41:23,0,15.1,823,
1,october,4,2,10/23/2021,13:41:28,0,15.1,822,
1,october,4,2,10/23/2021,13:41:33,0,15.1,823,
1,october,4,2,10/23/2021,13:41:38,0,15.1,823,
1,october,4,2,10/23/2021,13:41:43,0,15,822,
1,october,4,2,10/23/2021,13:41:48,0,15.1,822,
1,october,4,2,10/23/2021,13:41:53,0,15.1,822,
1,october,4,2,10/23/2021,13:41:58,0,15,822,
1,october,4,2,10/23/2021,13:42:03,0,15,823,
1,october,4,2,10/23/2021,13:42:08,0,15.1,822,
1,october,4,2,10/23/2021,13:42:13,0,15.1,823,
1,october,4,2,10/23/2021,13:42:18,0,15,823,
1,october,5,2,10/23/2021,13:52:25,0,14.6,823,
1,october,5,2,10/23/2021,13:52:30,0,14.6,822,
1,october,5,2,10/23/2021,13:52:35,0,14.6,823,
1,october,5,2,10/23/2021,13:52:40,0,14.6,823,
1,october,5,2,10/23/2021,13:52:45,0,14.6,823,
1,october,5,2,10/23/2021,13:52:50,0,14.6,823,
1,october,5,2,10/23/2021,13:52:55,0,14.6,823,
1,october,5,2,10/23/2021,13:53:00,0,14.6,822,
1,october,5,2,10/23/2021,13:53:05,0,14.6,823,
1,october,5,2,10/23/2021,13:53:10,0,14.6,823,
1,october,5,2,10/23/2021,13:53:15,0,14.6,822,
1,october,5,2,10/23/2021,13:53:20,0,14.6,822,
1,october,5,2,10/23/2021,13:53:25,0,14.6,823,
1,october,5,2,10/23/2021,13:53:30,0,14.6,822,
1,october,5,2,10/23/2021,13:53:35,0,14.6,822,
1,october,5,2,10/23/2021,13:53:40,0,14.6,823,
1,october,5,2,10/23/2021,13:53:45,0,14.6,823,
1,october,5,2,10/23/2021,13:53:50,0,14.6,822,
1,october,5,2,10/23/2021,13:53:55,0,14.6,822,
1,october,5,2,10/23/2021,13:54:00,0,14.6,822,
1,october,5,2,10/23/2021,13:54:05,0,14.6,823,
1,october,5,2,10/23/2021,13:54:10,0,14.6,823,
1,october,5,2,10/23/2021,13:54:15,0,14.6,823,
1,october,5,2,10/23/2021,13:54:20,0,14.2,823,
1,october,5,2,10/23/2021,13:54:25,0,14.2,823,
1,october,5,2,10/23/2021,13:54:30,0,14.2,823,
1,october,5,2,10/23/2021,13:54:35,0,14.2,823,
1,october,5,2,10/23/2021,13:54:40,0,14.2,823,
1,october,5,2,10/23/2021,13:54:45,0,14.2,823,
1,october,5,2,10/23/2021,13:54:50,0,14.2,823,
1,october,5,2,10/23/2021,13:54:55,0,14.2,823,
1,october,5,2,10/23/2021,13:55:00,0,14.2,823,
1,october,5,2,10/23/2021,13:55:05,0,14.2,823,
1,october,5,2,10/23/2021,13:55:10,0,14.2,823,
1,october,5,2,10/23/2021,13:55:15,0,14.2,823,
1,october,5,2,10/23/2021,13:55:20,0,14.2,822,
1,october,5,2,10/23/2021,13:55:25,0,14.2,822,
1,october,5,2,10/23/2021,13:55:30,0,14.2,823,
1,october,5,2,10/23/2021,13:55:35,0,14.2,823,
1,october,5,2,10/23/2021,13:55:40,0,14.2,822,
1,october,5,2,10/23/2021,13:55:45,0,14.2,822,
1,october,5,2,10/23/2021,13:55:50,0,14.2,822,
1,october,5,2,10/23/2021,13:55:55,0,14.2,823,
1,october,5,2,10/23/2021,13:56:00,0,14.2,823,
1,october,5,2,10/23/2021,13:56:05,0,14.2,822,
1,october,5,2,10/23/2021,13:56:10,0,14.2,823,
1,october,5,2,10/23/2021,13:56:15,0,14.2,823,
1,october,5,2,10/23/2021,13:56:20,0,14.2,823,
1,october,5,2,10/23/2021,13:56:25,0,14.2,823,
1,october,5,2,10/23/2021,13:56:30,0,14.2,822,
1,october,5,2,10/23/2021,13:56:35,0,14.2,823,
1,october,5,2,10/23/2021,13:56:40,0,14.2,823,
1,october,5,2,10/23/2021,13:56:45,0,14.1,822,
1,october,5,2,10/23/2021,13:56:50,0,14.1,823,
1,october,5,2,10/23/2021,13:56:55,0,14.1,823,
1,october,5,2,10/23/2021,13:57:00,0,14.1,822,
1,october,5,2,10/23/2021,13:57:05,0,14.1,823,
1,october,5,2,10/23/2021,13:57:10,0,14,822,
1,october,5,2,10/23/2021,13:57:15,0,14.1,822,
1,october,5,2,10/23/2021,13:57:20,0,14,822,
1,october,5,2,10/23/2021,13:57:25,0,14,823,
1,october,5,2,10/23/2021,13:57:30,0,13.9,823,
1,october,6,3,10/23/2021,14:16:07,0,13,822,
1,october,6,3,10/23/2021,14:16:12,0,13,823,
1,october,6,3,10/23/2021,14:16:17,0,13,822,
1,october,6,3,10/23/2021,14:16:22,0,13,822,
1,october,6,3,10/23/2021,14:16:27,0,13,822,
1,october,6,3,10/23/2021,14:16:32,0,13,822,
1,october,6,3,10/23/2021,14:16:37,0,13,822,
1,october,6,3,10/23/2021,14:16:42,0,13,822,
1,october,6,3,10/23/2021,14:16:47,0,13,822,
1,october,6,3,10/23/2021,14:16:52,0,13,823,
1,october,6,3,10/23/2021,14:16:57,0,13,822,
1,october,6,3,10/23/2021,14:17:02,0,13,822,
1,october,6,3,10/23/2021,14:17:07,0,13,822,
1,october,6,3,10/23/2021,14:17:12,0,13,822,
1,october,6,3,10/23/2021,14:17:17,0,13,823,
1,october,6,3,10/23/2021,14:17:22,0,13,823,
1,october,6,3,10/23/2021,14:17:27,0,13,823,
1,october,6,3,10/23/2021,14:17:32,0,13,822,
1,october,6,3,10/23/2021,14:17:37,0,13,823,
1,october,6,3,10/23/2021,14:17:42,0,13,823,
1,october,6,3,10/23/2021,14:17:47,0,13,823,
1,october,6,3,10/23/2021,14:17:52,0,13,823,
1,october,6,3,10/23/2021,14:17:57,0,13,822,
1,october,6,3,10/23/2021,14:18:02,0,13,823,
1,october,6,3,10/23/2021,14:18:07,0,13,823,
1,october,6,3,10/23/2021,14:18:12,0,13,823,
1,october,6,3,10/23/2021,14:18:17,0,13,823,
1,october,6,3,10/23/2021,14:18:22,0,13,823,
1,october,6,3,10/23/2021,14:18:27,0,13,823,
1,october,6,3,10/23/2021,14:18:32,0,13,822,
1,october,6,3,10/23/2021,14:18:37,0,13,822,
1,october,6,3,10/23/2021,14:18:42,0,13,822,
1,october,6,3,10/23/2021,14:18:47,0,13,823,
1,october,6,3,10/23/2021,14:18:52,0,13,823,
1,october,6,3,10/23/2021,14:18:57,0,13,822,
1,october,6,3,10/23/2021,14:19:02,0,13,822,
1,october,6,3,10/23/2021,14:19:07,0,13,823,
1,october,6,3,10/23/2021,14:19:12,0,13,823,
1,october,6,3,10/23/2021,14:19:17,0,13,822,
1,october,6,3,10/23/2021,14:19:22,0,13,823,
1,october,6,3,10/23/2021,14:19:27,0,13,823,
1,october,6,3,10/23/2021,14:19:32,0,13,823,
1,october,6,3,10/23/2021,14:19:37,0,13,822,
1,october,6,3,10/23/2021,14:19:42,0,13,822,
1,october,6,3,10/23/2021,14:19:47,0,13,823,
1,october,6,3,10/23/2021,14:19:52,0,13,822,
1,october,6,3,10/23/2021,14:19:57,0,13,823,
1,october,6,3,10/23/2021,14:20:02,0,13,822,
1,october,6,3,10/23/2021,14:20:07,0,13,822,
1,october,6,3,10/23/2021,14:20:12,0,13,822,
1,october,6,3,10/23/2021,14:20:17,0,13,822,
1,october,6,3,10/23/2021,14:20:22,0,13,822,
1,october,6,3,10/23/2021,14:20:27,0,13,822,
1,october,6,3,10/23/2021,14:20:32,0,13,823,
1,october,6,3,10/23/2021,14:20:37,0,13,823,
1,october,6,3,10/23/2021,14:20:42,0,13,822,
1,october,6,3,10/23/2021,14:20:47,0,13,822,
1,october,6,3,10/23/2021,14:20:52,0,12.9,822,
1,october,6,3,10/23/2021,14:20:57,0,12.9,822,
1,october,6,3,10/23/2021,14:21:02,0,12.9,822,
1,october,6,3,10/23/2021,14:21:07,0,12.9,822,
1,october,6,3,10/23/2021,14:21:12,0,12.9,822,
1,october,6,3,10/23/2021,14:21:17,0,12.9,822,
1,october,6,3,10/23/2021,14:21:22,0,12.9,822,
1,october,6,3,10/23/2021,14:21:27,0,12.9,822,
1,october,6,3,10/23/2021,14:21:32,0,12.9,822,
1,october,6,3,10/23/2021,14:21:37,0,12.9,822,
1,october,6,3,10/23/2021,14:21:42,0,12.9,822,
1,october,6,3,10/23/2021,14:21:47,0,12.9,822,
1,october,6,3,10/23/2021,14:21:52,0,12.9,822,
1,october,6,3,10/23/2021,14:21:57,0,12.9,822,
1,october,6,3,10/23/2021,14:22:02,0,12.9,822,
1,october,6,3,10/23/2021,14:22:07,0,12.9,823,
1,october,6,3,10/23/2021,14:22:12,0,12.9,823,
1,october,6,3,10/23/2021,14:22:17,0,12.9,822,
1,october,6,3,10/23/2021,14:22:22,0,12.9,823,
1,october,6,3,10/23/2021,14:22:27,0,12.9,823,
1,october,6,3,10/23/2021,14:22:32,0,12.9,822,
1,october,6,3,10/23/2021,14:22:37,0,12.9,822,
1,october,6,3,10/23/2021,14:22:42,0,12.9,822,
1,october,6,3,10/23/2021,14:22:47,0,12.9,823,
1,october,6,3,10/23/2021,14:22:52,0,12.8,823,
1,october,6,3,10/23/2021,14:22:57,0,12.9,822,
1,october,6,3,10/23/2021,14:23:02,0,12.8,822,
1,october,6,3,10/23/2021,14:23:07,0,12.2,822,
1,october,6,3,10/23/2021,14:23:12,0,12.2,822,
1,october,6,3,10/23/2021,14:23:17,0,12.2,822,
1,october,7,3,10/23/2021,14:28:01,0,12.2,822,
1,october,7,3,10/23/2021,14:28:06,0,12.2,822,
1,october,7,3,10/23/2021,14:28:11,0,12.2,822,
1,october,7,3,10/23/2021,14:28:16,0,12.1,822,
1,october,7,3,10/23/2021,14:28:21,0,12.2,822,
1,october,7,3,10/23/2021,14:28:26,0,12.1,822,
1,october,7,3,10/23/2021,14:28:31,0,12.1,822,
1,october,7,3,10/23/2021,14:28:36,0,12.1,822,
1,october,7,3,10/23/2021,14:28:41,0,12.1,822,
1,october,7,3,10/23/2021,14:28:46,0,12.1,822,
1,october,7,3,10/23/2021,14:28:51,0,12.1,822,
1,october,7,3,10/23/2021,14:28:56,0,12.1,822,
1,october,7,3,10/23/2021,14:29:01,0,12.1,822,
1,october,7,3,10/23/2021,14:29:06,0,12.1,822,
1,october,7,3,10/23/2021,14:29:11,0,12.1,822,
1,october,7,3,10/23/2021,14:29:16,0,12.1,822,
1,october,7,3,10/23/2021,14:29:21,0,12.1,822,
1,october,7,3,10/23/2021,14:29:26,0,12.1,822,
1,october,7,3,10/23/2021,14:29:31,0,12.1,822,
1,october,7,3,10/23/2021,14:29:36,0,12.1,822,
1,october,7,3,10/23/2021,14:29:41,0,12.1,822,
1,october,7,3,10/23/2021,14:29:46,0,12.1,822,
1,october,7,3,10/23/2021,14:29:51,0,12.1,822,
1,october,7,3,10/23/2021,14:29:56,0,12.1,822,
1,october,7,3,10/23/2021,14:30:01,0,12.1,822,
1,october,7,3,10/23/2021,14:30:06,0,12.1,822,
1,october,7,3,10/23/2021,14:30:11,0,12.1,822,
1,october,7,3,10/23/2021,14:30:16,0,12.1,822,
1,october,7,3,10/23/2021,14:30:21,0,12.1,822,
1,october,7,3,10/23/2021,14:30:26,0,12.1,822,
1,october,7,3,10/23/2021,14:30:31,0,12.1,822,
1,october,7,3,10/23/2021,14:30:36,0,12.1,822,
1,october,7,3,10/23/2021,14:30:41,0,12.1,822,
1,october,7,3,10/23/2021,14:30:46,0,12.1,822,
1,october,7,3,10/23/2021,14:30:51,0,12.1,822,
1,october,7,3,10/23/2021,14:30:56,0,12.1,822,
1,october,7,3,10/23/2021,14:31:01,0,12.1,822,
1,october,7,3,10/23/2021,14:31:06,0,12.1,822,
1,october,7,3,10/23/2021,14:31:11,0,12.1,822,
1,october,7,3,10/23/2021,14:31:16,0,12.1,822,
1,october,7,3,10/23/2021,14:31:21,0,12.1,822,
1,october,7,3,10/23/2021,14:31:26,0,12.1,822,
1,october,7,3,10/23/2021,14:31:31,0,12.1,822,
1,october,7,3,10/23/2021,14:31:36,0,12.1,822,
1,october,7,3,10/23/2021,14:31:41,0,12.1,822,
1,october,7,3,10/23/2021,14:31:46,0,12.1,822,
1,october,7,3,10/23/2021,14:31:51,0,12.1,822,
1,october,7,3,10/23/2021,14:31:56,0,12.1,822,
1,october,7,3,10/23/2021,14:32:01,0,12.1,822,
1,october,7,3,10/23/2021,14:32:06,0,12.1,822,
1,october,7,3,10/23/2021,14:32:11,0,12.1,822,
1,october,7,3,10/23/2021,14:32:16,0,12.1,822,
1,october,7,3,10/23/2021,14:32:21,0,12.1,822,
1,october,7,3,10/23/2021,14:32:26,0,12.1,822,
1,october,7,3,10/23/2021,14:32:31,0,12.1,822,
